APPLICATION_ID,ABSTRACT_TEXT
10832651,"ABSTRACT
The program objective is to train predoctoral and postdoctoral biostatisticians in statistical theory and methods
and collaboration as applied to environmental health sciences (EHS). The grant is administered through the
Department of Biostatistics and Computational Biology (DBCB), in collaboration with the Departments of
Environmental Medicine and Public Health Sciences. The eleven trainers are faculty in these departments,
seven of whom are from DBCB. Training: The DBCB offers a PhD degree in Statistics, with a Bioinformatics
and Computational Biology option, providing rigorous and state-of-the art statistical training. All pre- and
postdoctoral trainees work on applied EHS projects under joint mentorship of a DBCB and an EHS trainer.
These projects include the Seychelles Child Development Study, which examines neurodevelopmental effects
of prenatal exposure to mercury and nutrients from fish consumption, and studies of the reproductive effects of
phthalates, perfluoroalkyl substances, bisphenol A, and maternal stress. Involvement in these studies
provides trainees with both statistical and EHS training, gives experience in reproducible research and
communication, and often motivates trainees' methodologic research. Further EHS training is obtained
through courses in epidemiology and toxicology, as well as lab tours and seminars customized to the trainees.
Postdoctoral trainees enroll in DBCB and EHS courses appropriate to their experience and interest, work on
EHS projects, and participate in all T32-related activities. All trainees present their work at local and national
conferences. Program oversight is provided via monthly meetings of the T32 Executive Committee and annual
evaluations by the External Advisory Board, and makes use of trainee evaluations to improve the program.
Trainee selection: Emphasis is placed on recruiting trainees from diverse backgrounds and increasing
representation of under-represented groups in the biostatistics profession. Successful applicants to the
Statistics PhD program in DBCB will have completed a baccalaureate degree with a major in mathematics or
statistics, or in science with a strong minor in mathematics or statistics. Predoctoral trainees for this training
program are selected from among the Statistics PhD students, generally begin T32 support after two years of
in the PhD program, and are appointed for up to four years. Postdoctoral trainees must have completed a PhD
in statistics, mathematics, epidemiology or a related discipline, or have basic science training with strong
quantitative skills, and are supported for up to three years. The program supports three predoctoral and one
postdoctoral trainee."
10832534,"Program Abstract
The goal of this training program is to provide the skill-set necessary for translational surgeon-
scientists focused on pediatric diseases. Only 3% of T32 programs in the United States are focused
on training surgeon-scientists, and only 1 surgical research training program in pediatrics currently
exists in Urology. Pediatric surgical diseases are unique because the vast majority result from
congenital anomalies. Consequently, pediatric surgical disciplines require specialized training to be
best equipped for a translational research career focused on children. This program will provide a 2-
year postdoctoral fellowship in translational basic research for individuals in a surgery residency who
are planning on a career as a pediatric surgeon. A total of 3 fellows in the program at one time will
receive broad training in the fields of vascular diseases and vascular biology. Vascular anomalies
affect 5% of the population and involve every anatomical location and organ system. Consequently,
all pediatric surgical specialists manage these disorders. Because vascular biology is applicable to
almost all pediatric diseases, graduates will be able to apply the skills learned to a broad range of
pediatric conditions. The training program consists of 8 pediatric surgical departments and programs.
The 13 program faculty are experts in pediatric surgical diseases, vascular anomalies, and/or
vascular biology and include surgeon-scientists and basic scientists. The postdoctoral fellows will be
based in one of the faculty’s laboratories and will have independent mentored research projects (70%
effort), didactic training in translational research methodology (15% effort), participation in
conferences and clinics (10% effort), and guidance by a Mentorship Committee to facilitate their
transition to independent research careers in pediatric surgery (5% effort). The postdoctoral fellows
will be in an outstanding environment to succeed, supported by an internationally-recognized
Pediatric Medical and Research Institution, Vascular Anomalies Center, Vascular Biology Program,
Lymphedema Program, and Departments of Cardiac Surgery, General Surgery, Neurosurgery,
Orthopedic Surgery, and Plastic Surgery. The program faculty have a long history of collaboration
and a proven track-record of successful research funding and mentoring. This unique training
program will produce the next generation of pediatric surgeon-scientists with the skill-set necessary to
improve the lives of children through innovative translational research."
10833111,"PROJECT SUMMARY
Kaposi sarcoma (KS) is a multifocal angioproliferative tumor affecting the skin, oral mucosa, lymph nodes and
visceral organs. Common factors for KS development include infection with the oncogenic herpesvirus Kaposi
sarcoma herpesvirus (KSHV/HHV8) and immune deregulation. While ART has reduced KS incidence in the
Western world, it remains the most common AIDS-associated malignancy worldwide. Growing knowledge of KS
has improved treatment options, but it remains an incurable cancer causing significant morbidity and mortality,
particularly in resource-limited regions. Thus, there is an urgent need for effective and affordable novel therapies
for use in combination with, or instead of, conventional therapies. KSHV profoundly alters the transcriptome of
the host cell, significantly influencing the function of multiple cellular homeostatic and adaptive pathways.
Interrogation of these pathways has identified a number of components as potential therapeutic targets for KS,
but significant gaps in our knowledge of the virus-host interaction hamper progress. In this application, we focus
specifically on two important and inter-connected host cell pathways that are influenced by KSHV infection, iron
metabolism and the antioxidant pathway, and investigate why KSHV-infected EC are resistant to ferroptosis, an
iron-dependent form of regulated cell death that is characterized by accumulation of ROS and lethal oxidative
damage to phospholipids. To support abnormal growth, tumor cells typically have a higher iron need, which is
satisfied through altered expression of genes regulating iron uptake, utilization and storage. Our preliminary data
suggest that KS resembles other cancers in this regard and directly implicate KSHV in this phenotype. Notably,
in vitro infection of lymphatic endothelial cells (LEC) results in deregulation of iron metabolism genes and
development of an iron-responsive growth phenotype. While iron fuels tumor growth, iron addiction presents a
paradox: how to maintain redox homeostasis and resist ferroptotic death? Many tumor cells achieve this balance
with an enhanced antioxidant response that includes activation of ferroptosis suppressor pathways to resist lethal
lipid peroxidation. Our data show that KSHV upregulates SLC7A11 (xCT), a critical initiator of the canonical
xCT/GSH/GPX4 ferroptosis suppressor pathway, and that KSHV-infected cells are uniquely susceptible to
ferroptotic death when xCT is inhibited. In addition, KSHV upregulates the newly-identified anti-ferroptotic gene,
ferroptosis suppressor protein 1 (FSP1), which functions through an independent, CoQ-dependent, pathway to
suppress ferroptosis, thus presenting an alternate target for the selective elimination of KSHV-infected cells. In
this application, we will test the innovative premise that KSHV reprograms host cell metabolism both to acquire
iron for growth and to activate two independent but complementary ferroptosis suppressor pathways. We
hypothesize that this reprogramming, while important for tumor growth and survival, creates unique points of
vulnerability that can be therapeutically exploited."
10833116,"The complexity and multifactorial nature of Alzheimer’s disease (AD) pose unique challenges for mechanistic
studies and developing therapies. Although many transgenic mouse models have been generated for AD
research and these models are important for our understanding of the pathological basis of the disease, none
of them has captured the entire spectrum of the disease pathologies. This is likely due to significant species
differences between mouse and human neural cells. Therefore, there is an urgent need to establish human
disease modeling platforms to complement studies in animal models for AD research. Since the advent of induced pluripotent stem cell (iPSC) technology a decade ago, human iPSCs (hiPSCs) have been widely used for disease modeling and drug discovery. However, given the relative immaturity of cells differentiated from hiPSCs, it is challenging to use them for modeling late-onset diseases, such as AD, for which cellular aging is important in disease pathologies. Direct reprogramming is an alternative cellular reprogramming technology, which allows direct conversion of one type of cells, such as fibroblasts, into another type of cells, such as neural stem cells (NSCs) or neurons. It has been shown that direct reprogramming enables generation of human neurons that possess key elements of cellular aging, because this reprogramming process does not go through the iPSC stage involving extensive epigenetic modifications. While the strongest risk factor for AD is aging, the strongest genetic risk factor of AD is apolipoprotein E4
(apoE4). Among the three isoforms of human apoE (apoE2, apoE3, and apoE4), apoE4 increases AD risk,
apoE3 is neutral, and apoE2 is protective. Although the roles of apoE4 in AD pathogenesis have been
extensively studied, the protective roles of apoE2 in AD have been surprisingly understudied. Clearly, better
understanding of the molecular and cellular mechanisms underlying apoE2’s protective roles in AD will likely
provide novel targets or signaling pathways for anti-AD drug development, especially for late-onset AD.
 The objectives of this proposal are to develop aging-relevant human neuron models of late-onset AD, using
direct reprogramming technology in combination with CRISPR/Cas9-mediated gene editing, and to dissect the
underlying mechanisms of apoE2’s protective roles in AD. We propose three complementary aims to
accomplish the goals. Aim 1: To generate isogenic human fibroblast lines with an apoE2/2 or apoE3/3
genotype from the parental human fibroblast lines with an apoE4/4 genotype as cell sources for direct
reprogramming. Aim 2: To dissect the protective roles of apoE2 and their underlying mechanisms using
directly reprogrammed human neurons and astrocytes. Aim 3: To dissect the protective roles of apoE2 and
their underlying mechanisms using directly reprogrammed NSC-derived neurons and astrocytes. The
outcomes of the proposed studies will promote our understanding of the molecular and cellular mechanisms
underlying apoE2’s protective roles in AD, and will likely identify novel targets for anti-AD drug development."
10833120,"PROJECT SUMMARY
Cellular metabolic pathways exhibit remarkable plasticity across different cell types in both development and
disease. In addition to accompanying changes in cell state, metabolic rewiring has been shown to drive cell fate
decisions programs by altering the chromatin landscape. The deposition of chemical modifications that decorate
chromatin requires the intermediates of metabolic pathways, and several enzymes that remove these marks use
metabolites as part of their enzymatic reaction. Therefore, fluctuations in metabolite levels have the capacity to
shape chromatin to effect cell fate-specific gene expression, but the metabolic changes that drive chromatin
reorganization and the enzymes that mediate metabolic control of cell fate during early development remain
largely unknown. We have previously identified specific metabolites that control self-renewal of mouse embryonic
stem cells (ESCs). Whether metabolism is altered as ESCs exit the self-renewing pluripotent state, and whether
these metabolic changes are required for multi-lineage differentiation remains an open question.
The goal of this research proposal is to characterize the metabolic rewiring that occurs during exit from
naïve pluripotency and to determine the mechanisms by which this rewiring controls mouse ESC
differentiation. Our preliminary data indicate that exit from naïve pluripotency is accompanied by an increase
in the mitochondrial export of citrate. In Aim 1, we will use genetic and pharmacologic approaches to target the
mitochondrial citrate transporter SLC25A1 or the downstream citrate-catabolizing enzyme ATP-citrate lyase to
test the hypothesis that mitochondrially-derived citrate is required for early differentiation. We will investigate
whether this metabolic change regulates cell fate through the deposition of citrate-derived histone acetylation
marks. Preliminary data also shows changes in cellular redox state marked by an increase in the cytosolic
NAD+/NADH ratio during early differentiation. In Aim 2, we will determine if this metabolic change is required for
exit from naïve pluripotency by modulating the NAD+/NADH ratio using pharmacological or genetic tools. Further
experiments will identify the mechanism by which cellular redox state signals to the chromatin landscape to
dictate cell fate. These studies will reveal the mechanisms of metabolic control during exit from naïve pluripotency
and will provide critical insight into how metabolic regulation contributes to changes in cell identity during
embryonic development. The work and training plan outlined in this proposal will be completed in the laboratory
of Dr. Lydia Finley with the co-advisement of Dr. Kristian Helin at Memorial Sloan Kettering Cancer Center and
will ideally prepare the applicant for further clinical training and a career as an independent physician-scientist."
10833047,"Uncovering Life Course Constellations of Exposures through Big Data on Place, Time, and Family
Factors
Project Abstract
This project will trace the mortality of birth cohorts of the early 20th century in the US by place, time, and family
factors. Combining “big data” with a large array of contextual exposures, we substantially deepen our
understanding of the complexities of how childhood exposures to disease, economic change, and natural
disasters shape old age mortality profiles of cohorts born ~1910-1930. We fuse together hypothesis driven
tests, data driven discoveries, and omnibus measures from variance decompositions. Our proposal combines
the massive CenSoc data, which contains >15 million death records between 1975-2005 to test specific
hypotheses as well as generate new hypotheses around the main, interactive, and cumulative effects of
exposures during sensitive periods of development that may shape mortality experiences of these cohorts.
Our interdisciplinary group of sociologists, demographers, economists, epidemiologists and others combines
our expertise with the CenSoc data as well as with testing hypotheses from the Developmental Origins of Adult
Health and Disease theories to pursue an interconnected set of specific aims to push forward the frontier of
understanding the complex links between early life exposures and later life mortality.
Aim 1 begins with a set of variance decompositions stratified by time and place across the early 20th century in
order to construct an “Atlas” of estimates of the importance of family background (sibling correlations) as well
as shared environmental factors (childhood neighbor correlations) determining old age mortality experiences at
the close of the 20th century. We then ask whether these estimates are shaped by major disease events and
the extent to which the patterns are explained through socioeconomic status markers in mid life. Aim 2 pivots
from the forest to the trees by leveraging “natural experiment” research designs to estimate causal main and
interactive effects of specific early life exposures and how these effects vary by sex, geography, and family
background. We then make use of machine learning tools to synthesize estimates that may vary by age of
exposure, sequence of exposures, and domain of exposures during early life. These models explore impacts of
cumulative exposures, dynamic complementarity of exposures and potential for reversibility of early insults
using well powered analysis not available elsewhere. Aim 3 concludes our analysis by pushing the frontier of
intergenerational analysis by using data in previous aims to link back to parental information on exposures and
ask whether parental exposures affect the next generation’s old age mortality as well as whether the effects of
exposures interact across generations."
10833164,"ABSTRACT
Only 13% of the 780,000 adults living with end-stage renal disease (ESRD) have normal cognitive function. We
found that 14.0% of ESRD patients aged 35-49 experience severe cognitive impairment and 2.9% have a co-
occurring functional dependence suggestive of Alzheimer’s disease and related dementia (AD/ADRD). After
dialysis initiation older (≥65) patients experience a 21-25% lifetime risk of AD/ADRD. Younger ESRD patients
experience premature cognitive aging requiring the study of cognition and AD/ADRD across the lifespan. Black
ESRD patients are more than twice as likely to develop cognitive impairment and 70%-78% more likely to be
diagnosed with AD/ADRD; this disparity is comparable to a 10 year increase in age. While systemic racism is a
known contributor to health disparities in community-dwelling older adults, its impact on cognitive aging among
ESRD patients is understudied. Measurement of systemic racism (i.e., structural, institutional, and
interpersonal) is crucial to identifying ESRD patients who are at risk of premature cognitive aging and those
who are resilient in the face of racism. Elucidating mechanisms by which systemic racism impacts cognitive
aging will lead to interventions and policies that may prevent the devastation of AD/ADRD for 234,000 Black
ESRD patients. We seek to address a National Institute on Aging (NIA) goal (RFA-MD-21-004): “To elucidate
whether and how mechanisms connecting structural racism to aging-relevant outcomes, including cognition
and AD/ADRD, operate on multiple levels.” ESRD patients are the ideal population to elucidate these
mechanisms: 1) 30% of patients are Black; 2) 87% experience premature cognitive aging; 3) all enroll in a
national registry and 65% in Medicare for measurement of institutional racism. For all adult ESRD patients in
the national registry/Medicare database, we will glean 23 indicators of structural racism from publicly available
data and identify 3 indicators of institutional racism. Then, we will link these data to our ongoing, NIA-funded,
multi-center, prospective cohort study (FAIR, n=5,275) of aging and ESRD to fully characterize systemic
racism (lifecourse structural racism, institutional racism, and interpersonal racism). This is the oldest (>12
years) ESRD cohort study that includes longitudinal measures global and domain specific cognitive function.
The National Kidney Foundation, Alzheimer’s Association, and a local community advisory board will guide the
design and interpretation of the following aims: 1) To estimate the impact of structural and institutional racism
on incident AD/ADRD; 2) To quantify the contributions of lifecourse systemic racism on cognitive impairment
and decline; and 3) To test whether resilience to systemic racism protects against cognitive impairment and
decline. By taking a lifecourse approach and engaging community, family, and patient stakeholders in all
phases of our study, we will identify feasible targets for improving resilience in the face of systemic racism.
These potential targets for interventions and policies to counter structural racism will likely generalize to other
populations with chronic diseases."
10833175,"PROJECT SUMMARY/ABSTRACT
Among the half a million childhood cancer survivors alive in the US today, the most commonly reported non-
cancer severe, life-threatening, or fatal chronic condition is cardiovascular disease (CVD) . It is the leading non-
cancer cause of premature death in this population. Heart radiation and anthracycline exposure have been
associated with a variety of CVD outcomes including cardiomyopathy, coronary artery disease (CAD), and
heart valve disease. Investigations of radiation therapy (RT)-related CVD have typically established
associations based solely on whole heart dose metrics; thus, overlooking the heterogeneity of the organ and its
substructures. Our team was the first to report data demonstrating substructure-level dose response of CVD
risk in childhood cancer survivors. Despite establishing distinct radiosentivities, cardiac substructure dose
constraints are not commonly incorporated into RT treatment planning due to the lack o f validated risk
prediction models, thus, missing opportunities to prospectively optimize RT planning and retrospectively
personalize risk-counseling and long-term cardiovascular surveillance in current and future cancer survivors.
The goal of the proposed project is to develop and validate novel CVD risk prediction models that incorporate
cardiac substructure doses. Further, we propose to develop tools to clinically translate these models into
effective personalized treatment paradigms with prospective and retrospective applications for care providers
to reduce CVD risk. We will: (1) develop and validate risk prediction models for cardiomyopathy, CAD, and
heart valve disease incorporating cardiac RT substructure doses, adjusting for demographics and
chemotherapy exposures; and (2) integrate CVD risk prediction models into commercial RT treatment planning
systems and web-based applications, and establish their use via in-silico studies of contemporary patients
treated with RT.
This will be the first investigation to use the unique radiosensitivity of different cardiac substructures as the
foundation for models that can predict the risk of specific types of CVD in children newly diagnosed with cancer
as well as among long-term survivors. Incorporating the substructure doses into prediction models will
significantly advance clinical care for both prospective RT treatment planning and retrospect ive risk
assessments. Prospectively, late CVD risk could be decreased in future survivors by optimizing delivery of
chest-directed RT with cardiac substructure dose constraints and selecting the plan that confers the lowest
risk, while maintaining optimal clinical target volume coverage. Retrospectively post treatment, the clinical team
can provide evidence-based personalized risk mitigation counseling, based on individualized risk profiles
determined from delivered cardiac substructure doses adjusted for chemotherapy exposures and
demographics. Successful execution of the proposed project has the potential to transform clinical practice for
treatment of childhood and adolescent patients with cancer."
10833214,"Program Summary
Progressive Multifocal Leukoencephalopathy (PML) is a major life threatening complication in patients
with AIDS and in patients undergoing immunotherapy for autoimmune diseases such as multiple
sclerosis, Crohn's disease, severe plaque psoriasis, systemic lupus erythematosis, hematologic
malignancies, and rheumatoid arthritis. The disease is paradoxically caused by a common human
polyomavirus following the loss of normal immune surveillance of the central nervous system (CNS).
There are several major gaps in our understanding of the basic biology that underpins the
development of PML. First, the anatomical site of virus persistence is not known but kidney, bone
marrow, and brain have all been postulated to be involved. Second, the mechanisms that govern viral
persistence are not well defined but changes in the viral promoter (archetype to PML-type) and
regulation of a viral microRNA are thought to be critical for transition to the lytic phase. Third, the
mechanisms of viral spread to the CNS and within the CNS are not known. Based on our recent work
we hypothesize that free virus as well as virus enclosed in extracellular vesicles spreads from the
kidney to the choroid plexus and meningeal compartments where replication in CPE cells provides the
means for EV mediated invasion of brain parenchyma. Once in the brain extracellular vesicle
mediated spread is likely to play the major role in spreading the infection because macroglia lack the
principle cellular receptors to support infection by free virus. Our vision for the R35 application is to
further our understanding of these basic mechanisms of infectious spread of virus and to use the
information to identify biomarkers that can predict PML early and in easily accessible compartments
well before the virus has a chance to spread to the CNS. The work should also lead to the
development of novel strategies to treat and prevent PML."
10837988,"PROJECT 2 – PROJECT SUMMARY/ABSTRACT
Project 2. Uncovering Mechanisms of the Lymphoid Oncogenesis of Epstein-Barr Virus and Kaposi’s
Sarcoma Herpesvirus
Bill Sugden, Project Leader; Paul Lambert and Eric Johannsen, Co-Leaders
EBV causes several lymphoid cancers; EBV and KSHV together cause Primary Effusion Lymphomas (PELs).
We have uncovered previously unrecognized cellular drivers of Burkitt Lymphomas (BL) caused by EBV with
screens using CRISPR/Cas9 and sgRNAs to all human genes in early passage BL cells. PEL and BL are AIDS-
defining malignancies. We have developed a new approach to inhibit EBV in these early passage BL cells after
the comprehensive CRISPR screen and identified cellular genes which EBV must regulate for the lymphomas
to be maintained. These approaches have worked and ensure that our collaboration with Dr. Johannsen to
screen EBV+ DLBCLs in Project 4 will be informative. We are examining our newly developed co-transformation
of peripheral and tonsillar B-cells with EBV and KSHV to elucidate it mechanistically. We focus on EBV because
its causal role in PEL was formerly unappreciated. We are collaborating with Dr. Paul F. Lambert (Project 1), to
define EBV’s and KSHV's roles in PEL tumorigenesis studying co-transformed cells as xenografts in NSG mice.
These cells grow better in the peritoneal cavities of NSG mice than do cells infected only with EBV and express
genes characteristic of bona fide PELs. We are testing contributions of the peritoneal cavity to the tumor-growth
of co-transformed cells and PEL cell lines."
